Rozmiar tablicy, Shell(n^2),Frank-Lazarus(n^3/2),Sedgewick(n^4/3)[ten prostrzy],Papernov & Stasevich(n^3/2),Knuth 1973 based on Pratt(n^3/2),Ciura(nieznane)
10000,0,0,11,10,11,11
20000,1,1,41,41,42,45
30000,2,3,89,91,95,101
40000,4,3,160,164,170,180
50000,5,5,257,256,264,283
60000,6,6,368,365,383,405
70000,7,7,499,501,524,554
80000,9,8,648,654,682,722
90000,10,10,822,823,861,919
100000,11,11,1028,1015,1068,1122
110000,12,12,1231,1235,1290,1353
120000,13,13,1468,1472,1601,1801
130000,16,15,1805,1683,1782,1937
140000,15,17,1982,2101,2165,2285
150000,17,18,2262,2265,2379,2506
160000,20,18,2595,2563,2689,2820
170000,20,19,2877,2856,3103,3343
180000,20,20,3295,3249,3574,3600
190000,22,22,3628,3734,3911,4136
200000,24,23,4155,4122,4473,4618
210000,24,24,4590,4612,4864,5044
220000,28,26,4954,5013,5349,5587
230000,27,27,5503,5773,5794,5930
240000,29,28,5845,5977,6409,6774
250000,32,31,6606,6632,7179,7119
260000,32,31,7028,7742,7791,7939
270000,34,34,8505,8143,8277,8730
280000,32,36,8514,9806,8784,9999
290000,36,34,9559,9539,9287,9644
300000,36,38,9610,9545,10011,10722
310000,38,38,10695,10390,11101,11022
320000,40,38,10869,10827,12207,12191
330000,39,39,11718,11703,12619,12582
340000,43,42,13683,12295,13390,13775
350000,47,44,13250,12422,13482,15429
360000,44,48,16056,13894,14671,15138
370000,46,47,14610,14564,16707,15988
380000,47,51,15234,15039,16153,16711
390000,55,63,15912,16197,17222,17679
400000,54,49,16919,17182,18203,18705
410000,53,53,18042,18061,19444,20634
420000,53,53,19178,18965,19930,20867
430000,56,55,20372,20089,23686,22299
440000,57,63,25724,22644,23445,24551
450000,57,57,22265,23089,23908,24346
460000,69,57,25244,25258,25598,26245
470000,66,60,24621,25184,30416,31255
480000,63,65,25744,25811,27485,27942
490000,61,62,25312,26393,28387,29969
500000,64,62,28422,27160,29204,30581
